timestamp,test,prediction
2014-06-25 00:00:00+01:00,0.0,20.082264
2014-06-25 00:01:00+01:00,0.0,4.5039253
2014-06-25 00:02:00+01:00,0.0,4.445251
2014-06-25 00:03:00+01:00,0.0,4.5019717
2014-06-25 00:04:00+01:00,0.0,7.458678
2014-06-25 00:05:00+01:00,0.0,2.4810271
2014-06-25 00:06:00+01:00,0.0,720.60754
2014-06-25 00:07:00+01:00,0.0,4.5939884
2014-06-25 00:08:00+01:00,0.0,6.3008847
2014-06-25 00:09:00+01:00,0.0,5.054266
2014-06-25 00:10:00+01:00,0.0,5.689037
2014-06-25 00:11:00+01:00,0.0,5.6362886
2014-06-25 00:12:00+01:00,0.0,19.349941
2014-06-25 00:13:00+01:00,0.0,4.6520114
2014-06-25 00:14:00+01:00,0.0,-2.0421414
2014-06-25 00:15:00+01:00,0.0,4.12951
2014-06-25 00:16:00+01:00,0.0,7.007191
2014-06-25 00:17:00+01:00,0.0,6.419829
2014-06-25 00:18:00+01:00,0.0,5.721988
2014-06-25 00:19:00+01:00,0.0,5.758424
2014-06-25 00:20:00+01:00,0.0,9.35625
2014-06-25 00:21:00+01:00,0.0,6.0740995
2014-06-25 00:22:00+01:00,0.0,6.5994015
2014-06-25 00:23:00+01:00,0.0,-2.3241172
2014-06-25 00:24:00+01:00,0.0,4.4535866
2014-06-25 00:25:00+01:00,0.0,4.4783325
2014-06-25 00:26:00+01:00,0.0,0.89668894
2014-06-25 00:27:00+01:00,0.0,4.4525447
2014-06-25 00:28:00+01:00,0.0,872.1193
2014-06-25 00:29:00+01:00,0.0,4.767244
2014-06-25 00:30:00+01:00,0.0,-5.248002
2014-06-25 00:31:00+01:00,20.125,4.6399965
2014-06-25 00:32:00+01:00,0.0,-4.437925
2014-06-25 00:33:00+01:00,0.0,4.747512
2014-06-25 00:34:00+01:00,0.0,-0.32808155
2014-06-25 00:35:00+01:00,0.0,20.911097
2014-06-25 00:36:00+01:00,0.0,5.175913
2014-06-25 00:37:00+01:00,0.0,4.520401
2014-06-25 00:38:00+01:00,0.0,4.582885
2014-06-25 00:39:00+01:00,0.0,6.197179
2014-06-25 00:40:00+01:00,0.0,3.535961
2014-06-25 00:41:00+01:00,0.0,269.4597
2014-06-25 00:42:00+01:00,0.0,5.7114387
2014-06-25 00:43:00+01:00,0.0,-1.7991085
2014-06-25 00:44:00+01:00,0.0,4.792869
2014-06-25 00:45:00+01:00,0.0,4.7158957
2014-06-25 00:46:00+01:00,0.0,5.623557
2014-06-25 00:47:00+01:00,0.0,4.480091
2014-06-25 00:48:00+01:00,0.0,67.4273
2014-06-25 00:49:00+01:00,0.0,-1.5019597
2014-06-25 00:50:00+01:00,0.0,5.96691
2014-06-25 00:51:00+01:00,0.0,5.991558
2014-06-25 00:52:00+01:00,0.0,-4.5344996
2014-06-25 00:53:00+01:00,0.0,5.614701
2014-06-25 00:54:00+01:00,0.0,0.48473105
2014-06-25 00:55:00+01:00,0.0,5.754907
2014-06-25 00:56:00+01:00,0.0,5.096986
2014-06-25 00:57:00+01:00,0.0,3.0145667
2014-06-25 00:58:00+01:00,0.0,4.4875474
2014-06-25 00:59:00+01:00,0.0,4.5373
2014-06-25 01:00:00+01:00,0.0,-3.2834203
2014-06-25 01:01:00+01:00,0.0,14.922858
2014-06-25 01:02:00+01:00,0.0,4.7854123
2014-06-25 01:03:00+01:00,0.0,4.4487348
2014-06-25 01:04:00+01:00,0.0,7.7307878
2014-06-25 01:05:00+01:00,0.0,-5.3089886
2014-06-25 01:06:00+01:00,215.11111,45.451603
2014-06-25 01:07:00+01:00,0.0,-3.0899446
2014-06-25 01:08:00+01:00,0.0,4.446879
2014-06-25 01:09:00+01:00,0.0,5.8968067
2014-06-25 01:10:00+01:00,0.0,-5.7832675
2014-06-25 01:11:00+01:00,203.375,8.93104
2014-06-25 01:12:00+01:00,0.0,4.5821037
2014-06-25 01:13:00+01:00,0.0,-5.779458
2014-06-25 01:14:00+01:00,0.0,4.4317055
2014-06-25 01:15:00+01:00,0.0,3.0862327
2014-06-25 01:16:00+01:00,0.0,5.4767084
2014-06-25 01:17:00+01:00,0.0,8.856834
2014-06-25 01:18:00+01:00,0.0,-1.8569038
2014-06-25 01:19:00+01:00,0.0,679.6926
2014-06-25 01:20:00+01:00,0.0,4.4790487
2014-06-25 01:21:00+01:00,0.0,5.0455723
2014-06-25 01:22:00+01:00,0.0,4.561232
2014-06-25 01:23:00+01:00,0.0,-2.4462197
2014-06-25 01:24:00+01:00,0.0,3.812206
2014-06-25 01:25:00+01:00,0.0,5.251063
2014-06-25 01:26:00+01:00,0.0,-1.9859092
2014-06-25 01:27:00+01:00,0.0,-5.578493
2014-06-25 01:28:00+01:00,0.0,4.4670014
2014-06-25 01:29:00+01:00,0.0,4.667608
2014-06-25 01:30:00+01:00,0.0,6.119815
2014-06-25 01:31:00+01:00,0.0,4.537398
2014-06-25 01:32:00+01:00,0.0,4.4979014
2014-06-25 01:33:00+01:00,0.0,5.6116076
2014-06-25 01:34:00+01:00,0.0,-4.5733123
2014-06-25 01:35:00+01:00,0.0,4.4569077
2014-06-25 01:36:00+01:00,0.0,5.0409813
2014-06-25 01:37:00+01:00,0.0,-2.0236144
2014-06-25 01:38:00+01:00,0.0,5.1114426
2014-06-25 01:39:00+01:00,0.0,4.448572
2014-06-25 01:40:00+01:00,0.0,5.027143
2014-06-25 01:41:00+01:00,0.0,5.209483
2014-06-25 01:42:00+01:00,0.0,0.28119415
2014-06-25 01:43:00+01:00,0.0,1.5817008
2014-06-25 01:44:00+01:00,0.0,4.252003
